BIRA	26.4840	87.2670	0.0120
BUNG	27.8771	85.8909	1.1910
GAIG	26.8380	86.6318	0.1660
HILE	27.0482	87.3242	2.0880
ILAM	26.9102	87.9227	1.1810
JIRI	27.6342	86.2303	1.8660
NAMC	27.8027	86.7146	3.5230
PHAP	27.5150	86.5842	2.4880
PHID	27.1501	87.7645	1.1760
RUMJ	27.3038	86.5482	1.3190
SIND	27.2107	85.9088	0.4650
THAK	27.5996	85.5566	1.5510
TUML	27.3208	87.1950	0.3600
LAZE	29.1403	87.5922	4.0110
SAJA	28.9093	88.0209	4.3510
ONRN	29.3020	87.2440	4.3500
SSAN	29.4238	86.7290	4.5850
SAGA	29.3292	85.2321	4.5240
DINX	28.6646	87.1157	4.3740
RBSH	28.1955	86.8280	5.1000
NAIL	28.6597	86.4126	4.3780
MNBU	28.7558	86.1610	4.5000
NLMU	28.1548	85.9777	3.8890
YALA	28.4043	86.1133	4.4340
XIXI	28.7409	85.6904	4.6600
RC14	29.4972	86.4373	4.7560
MAZA	28.6713	87.8553	4.3670
JANA	26.7106	85.9242	0.0770
SUKT	27.7057	85.7611	0.7450
