# x y dy
    0.7080    0.2548    0.0294
    4.0270    1.2714    0.0202
    7.2736    1.7421    0.0500
   10.2977    1.8834    0.0701
   14.5953    2.4047    0.0495
   17.4943    2.4029    0.0543
   22.9246    2.5246    0.0657
   25.1321    2.5197    0.0948
   29.3317    2.7273    0.0890
   31.5843    2.9363    0.0316
   35.0564    2.8664    0.0490
   39.8100    2.9608    0.0584
   43.4341    2.8647    0.0986
   45.4123    3.0317    0.0627
   50.4856    3.1648    0.0480
   52.6826    2.9781    0.0775
   55.9892    3.2705    0.0705
   61.2265    3.4651    0.1116
   63.9840    3.0928    0.1086
   66.7693    3.0709    0.0979
   69.6781    3.2993    0.0916
   72.1513    3.4063    0.0963
   75.9882    3.3575    0.1099
   80.9095    3.3925    0.0336
   81.3392    3.4126    0.0587
   85.7079    3.3411    0.0278
   89.5698    3.3132    0.1027
   93.3207    3.6637    0.0773
   94.8023    3.5455    0.0627
  100.5291    3.4374    0.0488
